,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,MyPT - My Personal Trainer Oy,16.06.2015,
1,Y-tunnus,2696503-8,,
2,Kotipaikka,Oulu,16.06.2015,
3,Yritysmuoto,Osakeyhtiö,16.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.06.2015,,
6,Lakkaamisajankohta,16.11.2021,16.11.2021,
7,Viimeisin rekisteröintiajankohta,27.09.2022,27.09.2022,
8,Yrityksen tiedot järjestelmässä alkaen,16.06.2015,,
9,Yrityksen tila,Lakannut,16.11.2021,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
