,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Parkettikolmikko Oy,10.02.2016,
1,Y-tunnus,2739862-9,,
2,Kotipaikka,Helsinki,10.02.2016,
3,Yritysmuoto,Osakeyhtiö,10.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.02.2016,,
6,Viimeisin rekisteröintiajankohta,07.08.2021,07.08.2021,
7,Yrityksen tiedot järjestelmässä alkaen,10.02.2016,,
8,Yrityksen tila,Rekisterissä,10.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.07.2020,
11,Yhteystiedot,,14.01.2019,
12,Postiosoite,c/o Parkettikolmikko Oy  Koulumäentie 22  16230  Artjärvi Kk  Suomi,,
13,Käyntiosoite,c/o Parkettikolmikko Oy  Koulumäentie 22  16230  Artjärvi Kk  Suomi,,
14,Puhelin,040 7020 335,,
15,Sähköposti,harri.kalliokoski(a)lattiaremontti.fi,,
