,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pertunmaan Kukka- ja hautauspalvelu Oy,30.11.2015,
1,Y-tunnus,2727020-3,,
2,Kotipaikka,Pertunmaa,30.11.2015,
3,Yritysmuoto,Osakeyhtiö,30.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.11.2015,,
6,Lakkaamisajankohta,13.02.2023,13.02.2023,
7,Viimeisin rekisteröintiajankohta,13.02.2023,13.02.2023,
8,Yrityksen tiedot järjestelmässä alkaen,30.11.2015,,
9,Yrityksen tila,Lakannut,13.02.2023,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
