,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kentrading Oy,01.06.2015,
1,Y-tunnus,2687834-8,,
2,Kotipaikka,Ylöjärvi,01.06.2015,
3,Yritysmuoto,Osakeyhtiö,01.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.06.2015,,
6,Viimeisin rekisteröintiajankohta,17.02.2023,17.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.06.2015,,
8,Yrityksen tila,Rekisterissä,01.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.02.2020,
11,Yhteystiedot,,27.04.2017,
12,Postiosoite,Rantapellontie 1 A  14500  Iittala  Suomi,,
13,Käyntiosoite,Rantapellontie 1 A  14500  Iittala  Suomi,,
14,Puhelin,040 5400 235,,
15,Sähköposti,pertti.heino(a)kentrading.fi,,
16,Www,http://www.kentrading.fi,,
