,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lemilius Investments Oy,18.11.2021,
1,Y-tunnus,2730187-4,,
2,Kotipaikka,Helsinki,29.12.2015,
3,Yritysmuoto,Osakeyhtiö,29.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.12.2015,,
6,Viimeisin rekisteröintiajankohta,18.11.2021,18.11.2021,
7,Yrityksen tiedot järjestelmässä alkaen,29.12.2015,,
8,Yrityksen tila,Rekisterissä,18.11.2021,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,30.11.2018,
12,Postiosoite,Urho Kekkosen katu 4-6 E  00100  Helsinki  Suomi,,
13,Puhelin,+3725258946,,
14,Sähköposti,meelislaane(a)gmail.com,,
