,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,SSK Energia Oy,21.05.2015,
1,Y-tunnus,2690315-2,,
2,Kotipaikka,Jyväskylä,21.05.2015,
3,Yritysmuoto,Osakeyhtiö,21.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.05.2015,,
6,Lakkaamisajankohta,10.03.2020,10.03.2020,
7,Viimeisin rekisteröintiajankohta,10.03.2020,10.03.2020,
8,Yrityksen tiedot järjestelmässä alkaen,21.05.2015,,
9,Yrityksen tila,Lakannut,10.03.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
