,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kappa Web Studio Oy,05.02.2016,
1,Y-tunnus,2736888-4,,
2,Kotipaikka,Joensuu,05.02.2016,
3,Yritysmuoto,Osakeyhtiö,05.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.02.2016,,
6,Lakkaamisajankohta,28.03.2019,28.03.2019,
7,Viimeisin rekisteröintiajankohta,28.03.2019,28.03.2019,
8,Yrityksen tiedot järjestelmässä alkaen,05.02.2016,,
9,Yrityksen tila,Lakannut,28.03.2019,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
