,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kaivuu ja sähköpalvelu Parviainen Oy,09.03.2022,
1,Y-tunnus,2739122-4,,
2,Kotipaikka,Vantaa,29.01.2016,
3,Yritysmuoto,Osakeyhtiö,29.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.01.2016,,
6,Viimeisin rekisteröintiajankohta,09.05.2023,09.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,29.01.2016,,
8,Yrityksen tila,Rekisterissä,29.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,19.04.2020,
11,Yhteystiedot,,16.02.2023,
12,Postiosoite,c/o Santrantie  Santrantie 9  82210  Suhmura  Suomi,,
13,Käyntiosoite,c/o Santrantie  Santrantie 9  82210  Suhmura  Suomi,,
14,Puhelin,"0505858719, 050 5858719",,
15,Sähköposti,antti.parviainen1(a)gmail.com,,
16,Www,http://www.kaivuupalveluparviainen.fi,,
