,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Enempi Oy,25.03.2015,
1,Y-tunnus,2677147-9,,
2,Kotipaikka,Iisalmi,25.03.2015,
3,Yritysmuoto,Osakeyhtiö,25.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.03.2015,,
6,Lakkaamisajankohta,04.12.2018,04.12.2018,
7,Viimeisin rekisteröintiajankohta,04.12.2018,04.12.2018,
8,Yrityksen tiedot järjestelmässä alkaen,25.03.2015,,
9,Yrityksen tila,Lakannut,04.12.2018,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
