,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,KPR Holding Oy,26.01.2015,
1,Y-tunnus,2666007-4,,
2,Kotipaikka,Espoo,26.01.2015,
3,Yritysmuoto,Osakeyhtiö,26.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.01.2015,,
6,Viimeisin rekisteröintiajankohta,12.04.2022,12.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,26.01.2015,,
8,Yrityksen tila,Rekisterissä,26.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.03.2020,
11,Yhteystiedot,,13.01.2015,
12,Postiosoite,Peltomiehentie 11 A  02780  Espoo  Suomi,,
13,Käyntiosoite,Peltomiehentie 11 A  02780  Espoo  Suomi,,
14,Puhelin,0505119723,,
15,Sähköposti,kalle.ruuskanen(a)me.com,,
