,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vidrio Oy,20.01.2015,
1,Y-tunnus,2664055-9,,
2,Kotipaikka,Helsinki,20.01.2015,
3,Yritysmuoto,Osakeyhtiö,20.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.01.2015,,
6,Lakkaamisajankohta,28.06.2021,28.06.2021,
7,Viimeisin rekisteröintiajankohta,28.06.2021,28.06.2021,
8,Yrityksen tiedot järjestelmässä alkaen,20.01.2015,,
9,Yrityksen tila,Lakannut,28.06.2021,
10,Yrityksellä on yrityskiinnityksiä,Kyllä,,
