,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Nupura Oy,20.04.2015,
1,Y-tunnus,2682925-5,,
2,Kotipaikka,Espoo,20.04.2015,
3,Yritysmuoto,Osakeyhtiö,20.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.04.2015,,
6,Viimeisin rekisteröintiajankohta,07.07.2022,07.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.04.2015,,
8,Yrityksen tila,Rekisterissä,20.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.10.2021,
11,Yhteystiedot,,07.07.2022,
12,Postiosoite,Rajamaankuja 7 B 7  02970  Espoo  Suomi,,
13,Käyntiosoite,Rajamaankuja 7 B 7  02970  Espoo  Suomi,,
14,Puhelin,0505173835,,
15,Sähköposti,tapio.viljamaa(a)nupura.fi,,
16,Www,http://www.nupura.fi,,
