,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Stella Media Oy,26.01.2015,
1,Y-tunnus,2666040-2,,
2,Kotipaikka,Helsinki,26.01.2015,
3,Yritysmuoto,Osakeyhtiö,26.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.01.2015,,
6,Viimeisin rekisteröintiajankohta,16.03.2023,16.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,26.01.2015,,
8,Yrityksen tila,Rekisterissä,26.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,16.03.2023,
11,Yhteystiedot,,13.01.2015,
12,Postiosoite,Niemenmäentie 6 A 10  00350  Helsinki  Suomi,,
13,Käyntiosoite,Niemenmäentie 6 A 10  00350  Helsinki  Suomi,,
14,Puhelin,"0445698888, 0445698888",,
15,Sähköposti,olli.rusama(a)gmail.com,,
