,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Marko Kaarto Oy LKV,04.08.2015,
1,Y-tunnus,2701648-3,,
2,Kotipaikka,Tampere,04.08.2015,
3,Yritysmuoto,Osakeyhtiö,04.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,04.08.2015,,
6,Lakkaamisajankohta,06.08.2018,06.08.2018,
7,Viimeisin rekisteröintiajankohta,10.11.2018,10.11.2018,
8,Yrityksen tiedot järjestelmässä alkaen,04.08.2015,,
9,Yrityksen tila,Lakannut,06.08.2018,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
