,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Solid Potato Oy,10.03.2015,
1,Y-tunnus,2679314-1,,
2,Kotipaikka,Espoo,10.03.2015,
3,Yritysmuoto,Osakeyhtiö,10.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.03.2015,,
6,Viimeisin rekisteröintiajankohta,25.05.2022,25.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,10.03.2015,,
8,Yrityksen tila,Rekisterissä,10.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,14.01.2021,
11,Yhteystiedot,,03.03.2015,
12,Postiosoite,Verkkokuja 7 A  02230  Espoo  Suomi,,
13,Käyntiosoite,Verkkokuja 7 A  02230  Espoo  Suomi,,
14,Puhelin,041-5194451,,
15,Sähköposti,juha.solidpotato(a)gmail.com,,
