,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Willea Oy,24.06.2015,
1,Y-tunnus,2695923-6,,
2,Kotipaikka,Kuopio,24.06.2015,
3,Yritysmuoto,Osakeyhtiö,24.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.06.2015,,
6,Lakkaamisajankohta,29.12.2020,29.12.2020,
7,Viimeisin rekisteröintiajankohta,29.12.2020,29.12.2020,
8,Yrityksen tiedot järjestelmässä alkaen,24.06.2015,,
9,Yrityksen tila,Lakannut,29.12.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
