,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Starkidea Oy,18.02.2015,
1,Y-tunnus,2674333-9,,
2,Kotipaikka,Helsinki,18.02.2015,
3,Yritysmuoto,Osakeyhtiö,18.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.02.2015,,
6,Lakkaamisajankohta,11.06.2021,11.06.2021,
7,Viimeisin rekisteröintiajankohta,24.06.2021,24.06.2021,
8,Yrityksen tiedot järjestelmässä alkaen,18.02.2015,,
9,Yrityksen tila,Lakannut,11.06.2021,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
