,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,1460 Harri Kokko Oy,18.02.2016,
1,Y-tunnus,2738314-4,,
2,Kotipaikka,Oulu,18.02.2016,
3,Yritysmuoto,Osakeyhtiö,18.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.02.2016,,
6,Viimeisin rekisteröintiajankohta,30.07.2022,30.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,18.02.2016,,
8,Yrityksen tila,Rekisterissä,18.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,30.03.2020,
11,Yhteystiedot,,21.01.2016,
12,Postiosoite,Raharinnantie 5 D 24  90230  Oulu  Suomi,,
13,Käyntiosoite,Kirkkokatu 22  90100  Oulu  Suomi,,
14,Puhelin,050-3449983,,
