,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,TM Tuotanto Oy,16.06.2015,
1,Y-tunnus,2690802-5,,
2,Kotipaikka,Espoo,16.06.2015,
3,Yritysmuoto,Osakeyhtiö,16.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.06.2015,,
6,Lakkaamisajankohta,03.09.2019,03.09.2019,
7,Viimeisin rekisteröintiajankohta,18.09.2019,18.09.2019,
8,Yrityksen tiedot järjestelmässä alkaen,16.06.2015,,
9,Yrityksen tila,Lakannut,03.09.2019,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
