,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pieksämäen Kansanruokala Oy,22.03.2016,
1,Y-tunnus,2729578-5,,
2,Kotipaikka,Pieksämäki,22.03.2016,
3,Yritysmuoto,Osakeyhtiö,22.03.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,22.03.2016,,
6,Lakkaamisajankohta,25.07.2022,25.07.2022,
7,Viimeisin rekisteröintiajankohta,25.07.2022,25.07.2022,
8,Yrityksen tiedot järjestelmässä alkaen,22.03.2016,,
9,Yrityksen tila,Lakannut,25.07.2022,
10,Yrityksellä on yrityskiinnityksiä,Kyllä,,
