,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Auria Yrityslaskenta Oy,03.11.2015,
1,Y-tunnus,2721096-4,,
2,Kotipaikka,Jyväskylä,03.11.2015,
3,Yritysmuoto,Osakeyhtiö,03.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,03.11.2015,,
6,Lakkaamisajankohta,25.05.2021,25.05.2021,
7,Viimeisin rekisteröintiajankohta,25.05.2021,25.05.2021,
8,Yrityksen tiedot järjestelmässä alkaen,03.11.2015,,
9,Yrityksen tila,Lakannut,25.05.2021,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
