,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,OpusTalpa Oy,08.10.2015,
1,Y-tunnus,2702277-9,,
2,Kotipaikka,Espoo,08.10.2015,
3,Yritysmuoto,Osakeyhtiö,08.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.10.2015,,
6,Viimeisin rekisteröintiajankohta,09.11.2019,09.11.2019,
7,Yrityksen tiedot järjestelmässä alkaen,08.10.2015,,
8,Yrityksen tila,Rekisterissä,08.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,27.04.2020,
12,Postiosoite,c/o Joona Putkonen  Haltijatontuntie 12 B  02200  Espoo  Suomi,,
13,Käyntiosoite,c/o Joona Putkonen  Haltijatontuntie 12 B  02200  Espoo  Suomi,,
14,Puhelin,"+358443339487, +358503718393",,
15,Sähköposti,joona.putkonen(a)gmail.com,,
