,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Barona Technologies Oy,17.09.2015,
1,Y-tunnus,2710071-4,,
2,Kotipaikka,Helsinki,17.09.2015,
3,Yritysmuoto,Osakeyhtiö,17.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,17.09.2015,,
6,Lakkaamisajankohta,30.06.2019,30.06.2019,
7,Viimeisin rekisteröintiajankohta,24.12.2019,24.12.2019,
8,Yrityksen tiedot järjestelmässä alkaen,17.09.2015,,
9,Yrityksen tila,Lakannut,30.06.2019,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
