,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,KM-Kiito Oy,16.02.2015,
1,Y-tunnus,2674588-7,,
2,Kotipaikka,Puumala,16.02.2015,
3,Yritysmuoto,Osakeyhtiö,16.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.02.2015,,
6,Lakkaamisajankohta,05.09.2016,05.09.2016,
7,Viimeisin rekisteröintiajankohta,05.09.2016,05.09.2016,
8,Yrityksen tiedot järjestelmässä alkaen,16.02.2015,,
9,Yrityksen tila,Lakannut,05.09.2016,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
