,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Promo Plan Oy,25.03.2015,
1,Y-tunnus,2675620-1,,
2,Kotipaikka,Espoo,25.03.2015,
3,Yritysmuoto,Osakeyhtiö,25.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.03.2015,,
6,Viimeisin rekisteröintiajankohta,20.03.2023,20.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,25.03.2015,,
8,Yrityksen tila,Rekisterissä,25.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.03.2023,
11,Yhteystiedot,,25.05.2022,
12,Postiosoite,Krenatöörintie 29  02680  Espoo  Suomi,,
13,Käyntiosoite,Krenatöörintie 29  02680  Espoo  Suomi,,
14,Puhelin,+358400367105,,
15,Sähköposti,promoplan.ltd(a)gmail.com,,
