,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Home Food United Oy,17.02.2016,
1,Y-tunnus,2737541-9,,
2,Kotipaikka,Helsinki,11.02.2016,
3,Yritysmuoto,Osakeyhtiö,11.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.02.2016,,
6,Lakkaamisajankohta,14.07.2021,14.07.2021,
7,Viimeisin rekisteröintiajankohta,14.07.2021,14.07.2021,
8,Yrityksen tiedot järjestelmässä alkaen,11.02.2016,,
9,Yrityksen tila,Lakannut,14.07.2021,
10,Yrityksen tilanne,Selvitystilassa,15.08.2017,
11,Yrityksellä on yrityskiinnityksiä,Ei,,
