,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vigo Vigo OY,08.11.2017,
1,Y-tunnus,2717616-1,,
2,Kotipaikka,Helsinki,08.11.2017,
3,Yritysmuoto,Osakeyhtiö,16.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.10.2015,,
6,Viimeisin rekisteröintiajankohta,16.11.2022,16.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,16.10.2015,,
8,Yrityksen tila,Rekisterissä,16.10.2015,
9,Yrityksen tilanne,Konkurssissa,16.11.2022,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
11,Yrityksellä on edunsaajatietoja,Kyllä,25.06.2020,
12,Yhteystiedot,,14.06.2019,
13,Postiosoite,c/o Sushilounge  Ratakuja 1 lt. 2  01300  Vantaa  Suomi,,
14,Käyntiosoite,c/o Sushilounge  Ratakuja 1 lt. 2  01300  Vantaa  Suomi,,
15,Www,http://www.sushilounge.fi,,
