,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Showcase Club Oy,16.06.2015,
1,Y-tunnus,2695754-8,,
2,Kotipaikka,Espoo,16.06.2015,
3,Yritysmuoto,Osakeyhtiö,16.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.06.2015,,
6,Lakkaamisajankohta,19.12.2016,19.12.2016,
7,Viimeisin rekisteröintiajankohta,15.06.2017,15.06.2017,
8,Yrityksen tiedot järjestelmässä alkaen,16.06.2015,,
9,Yrityksen tila,Lakannut,19.12.2016,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
