,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Boogieman Management Oy,24.11.2015,
1,Y-tunnus,2724468-9,,
2,Kotipaikka,Oulu,24.11.2015,
3,Yritysmuoto,Osakeyhtiö,24.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.11.2015,,
6,Viimeisin rekisteröintiajankohta,25.05.2022,25.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,24.11.2015,,
8,Yrityksen tila,Rekisterissä,24.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.06.2020,
11,Yhteystiedot,,29.07.2020,
12,Postiosoite,c/o Harju Esa  Kangasrouskuntie 8  90650  Oulu  Suomi,,
13,Puhelin,"0400 580 005, 0400 581 362",,
14,Sähköposti,elmo.boogieman(a)gmail.com,,
