,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Keskisarjan Ihmishistoria Oy,21.12.2017,
1,Y-tunnus,2677388-8,,
2,Kotipaikka,Lapinjärvi,19.10.2022,
3,Yritysmuoto,Osakeyhtiö,04.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,04.03.2015,,
6,Viimeisin rekisteröintiajankohta,18.03.2023,18.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,04.03.2015,,
8,Yrityksen tila,Rekisterissä,04.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,18.03.2023,
11,Yhteystiedot,,28.11.2022,
12,Postiosoite,Järventaustantie 236  07800  Lapinjärvi  Suomi,,
13,Sähköposti,teemu.keskisarja(a)helsinki.fi,,
