,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Konepajan Bruno Oy,12.05.2015,
1,Y-tunnus,2686148-2,,
2,Kotipaikka,Helsinki,12.05.2015,
3,Yritysmuoto,Osakeyhtiö,12.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.05.2015,,
6,Lakkaamisajankohta,27.01.2020,27.01.2020,
7,Viimeisin rekisteröintiajankohta,27.01.2020,27.01.2020,
8,Yrityksen tiedot järjestelmässä alkaen,12.05.2015,,
9,Yrityksen tila,Lakannut,27.01.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
