,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Y & Y Holding Oy,09.06.2015,
1,Y-tunnus,2693659-5,,
2,Kotipaikka,Masku,09.06.2015,
3,Yritysmuoto,Osakeyhtiö,09.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.06.2015,,
6,Viimeisin rekisteröintiajankohta,10.09.2022,10.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,09.06.2015,,
8,Yrityksen tila,Rekisterissä,09.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.09.2021,
11,Yhteystiedot,,20.08.2021,
12,Postiosoite,Reelinkikatu 7 A 21  20810  Turku  Suomi,,
