,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistö Oy Sijoituskohde,24.11.2015,
1,Y-tunnus,2725401-9,,
2,Kotipaikka,Porvoo,24.11.2015,
3,Yritysmuoto,Osakeyhtiö,24.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.11.2015,,
6,Viimeisin rekisteröintiajankohta,30.04.2022,30.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,24.11.2015,,
8,Yrityksen tila,Rekisterissä,24.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,10.03.2020,
11,Yhteystiedot,,17.11.2015,
12,Postiosoite,Mannerheiminkatu 2  06100  Porvoo  Suomi,,
13,Puhelin,0400446553,,
14,Sähköposti,antti(a)soivio.fi,,
