,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kone-Kalle oy,08.05.2015,
1,Y-tunnus,2689060-3,,
2,Kotipaikka,Sastamala,08.05.2015,
3,Yritysmuoto,Osakeyhtiö,08.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.05.2015,,
6,Lakkaamisajankohta,04.05.2017,04.05.2017,
7,Viimeisin rekisteröintiajankohta,04.05.2017,04.05.2017,
8,Yrityksen tiedot järjestelmässä alkaen,08.05.2015,,
9,Yrityksen tila,Lakannut,04.05.2017,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
