,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Maatyölehto Oy,07.01.2016,
1,Y-tunnus,2714140-1,,
2,Kotipaikka,Kouvola,07.01.2016,
3,Yritysmuoto,Osakeyhtiö,02.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.10.2015,,
6,Lakkaamisajankohta,24.03.2021,24.03.2021,
7,Viimeisin rekisteröintiajankohta,24.03.2021,24.03.2021,
8,Yrityksen tiedot järjestelmässä alkaen,02.10.2015,,
9,Yrityksen tila,Lakannut,24.03.2021,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
