,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Eko Air System Service Oy,17.02.2015,
1,Y-tunnus,2663694-7,,
2,Kotipaikka,Turku,17.02.2015,
3,Yritysmuoto,Osakeyhtiö,17.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,17.02.2015,,
6,Lakkaamisajankohta,28.12.2022,28.12.2022,
7,Viimeisin rekisteröintiajankohta,28.12.2022,28.12.2022,
8,Yrityksen tiedot järjestelmässä alkaen,17.02.2015,,
9,Yrityksen tila,Lakannut,28.12.2022,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
