,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Santiago Productions Oy,23.02.2015,
1,Y-tunnus,2673075-7,,
2,Kotipaikka,Tampere,23.02.2015,
3,Yritysmuoto,Osakeyhtiö,23.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.02.2015,,
6,Lakkaamisajankohta,03.06.2021,03.06.2021,
7,Viimeisin rekisteröintiajankohta,03.06.2021,03.06.2021,
8,Yrityksen tiedot järjestelmässä alkaen,23.02.2015,,
9,Yrityksen tila,Lakannut,03.06.2021,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
